epoch,train_loss,val_loss,val_roc_auc_score
1,0.5641304554308162,0.5578658580780029,0.8239277259434619
2,0.4776276781278498,0.38712847232818604,0.8382421204103421
3,0.45006365965978773,0.41630735993385315,0.8421645081929164
4,0.43180213444957544,0.4392288327217102,0.846330594624704
5,0.4153763063544152,0.4377633333206177,0.8476999489393308
6,0.40345389562494616,0.5793353915214539,0.8469746553404819
7,0.3848194303758004,0.4538419544696808,0.8411490971545281
8,0.3643268402154539,0.5427091121673584,0.8435860836466603
9,0.34984776064315265,0.4485552906990051,0.8439690386668522
10,0.3304403982472186,0.36149242520332336,0.8361880889384021
11,0.30498320368282933,0.5133855938911438,0.8254537436754399
12,0.2875738872324719,0.48054856061935425,0.8268172956412755
13,0.2632395900128519,0.41661331057548523,0.821821473332405
14,0.24211168633956534,0.44351983070373535,0.8301130297544447
15,0.2241257560384624,0.49592676758766174,0.8137736155595785
